plz,stadt,mietstufe,max_kalt_1p,heiz_pausch_1p,klima_pausch_1p,gesamt_deckel_1p,amt_name,amt_adresse,amt_email,slug,bundesland,seo_title,seo_meta_desc,daten_valide
31134,Hildesheim,4,450.00,54.00,18.00,522.00,Fachbereich Soziales,"Markt 1, 31134 Hildesheim",sozialamt@stadt-hildesheim.de,hildesheim,Niedersachsen,Wohngeld Rechner Hildesheim | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Hildesheim (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
18055,Rostock,4,460.00,54.00,18.00,532.00,Sozialamt Rostock,"St.-Georg-Straße 109, 18055 Rostock",sozialamt@rostock.de,rostock,Mecklenburg-Vorpommern,Wohngeld Rechner Rostock | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Rostock (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
45657,Recklinghausen,3,415.00,54.00,18.00,487.00,Fachbereich Soziales,"Rathausplatz 3, 45657 Recklinghausen",sozialamt@recklinghausen.de,recklinghausen,Nordrhein-Westfalen,Wohngeld Rechner Recklinghausen | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Recklinghausen (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
47803,Krefeld,4,470.00,54.00,18.00,542.00,Fachbereich Soziales,"Peterstraße 117, 47803 Krefeld",sozialamt@krefeld.de,krefeld,Nordrhein-Westfalen,Wohngeld Rechner Krefeld | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Krefeld (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
38440,Wolfsburg,4,480.00,54.00,18.00,552.00,Geschäftsbereich Soziales und Gesundheit,"Porschestraße 49, 38440 Wolfsburg",soziales@stadt.wolfsburg.de,wolfsburg,Niedersachsen,Wohngeld Rechner Wolfsburg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Wolfsburg (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
63739,Aschaffenburg,4,490.00,54.00,18.00,562.00,Amt für Soziale Leistungen,"Dalbergstraße 15, 63739 Aschaffenburg",sozialamt@aschaffenburg.de,aschaffenburg,Bayern,Wohngeld Rechner Aschaffenburg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Aschaffenburg (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
50321,Brühl,4,460.00,54.00,18.00,532.00,Fachbereich Soziales,"Uhlstraße 3, 50321 Brühl",sozialamt@bruehl.de,bruehl,Nordrhein-Westfalen,Wohngeld Rechner Brühl | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Brühl (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
71638,Ludwigsburg,5,525.00,54.00,18.00,597.00,Fachbereich Soziales und Gesundheit,"Wilhelmstraße 9, 71638 Ludwigsburg",sozialamt@ludwigsburg.de,ludwigsburg-stadt,Baden-Württemberg,Wohngeld Rechner Ludwigsburg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Ludwigsburg (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
72764,Reutlingen,5,515.00,54.00,18.00,587.00,Sozialamt Reutlingen,"St.-Wolfgang-Straße 1, 72764 Reutlingen",sozialamt@reutlingen.de,reutlingen,Baden-Württemberg,Wohngeld Rechner Reutlingen | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Reutlingen (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
58313,Herdecke,3,410.00,54.00,18.00,482.00,Sozialamt Herdecke,"Hauptstraße 24, 58313 Herdecke",sozialamt@herdecke.de,herdecke,Nordrhein-Westfalen,Wohngeld Rechner Herdecke | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Herdecke (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
58452,Witten,4,465.00,54.00,18.00,537.00,Amt für Soziales,"Schwanenmarkt 1, 58452 Witten",sozialamt@stadt-witten.de,witten,Nordrhein-Westfalen,Wohngeld Rechner Witten | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Witten (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
67657,Kaiserslautern,4,470.00,54.00,18.00,542.00,Referat Soziales,"Willy-Brandt-Platz 1, 67657 Kaiserslautern",sozialamt@kaiserslautern.de,kaiserslautern,Rheinland-Pfalz,Wohngeld Rechner Kaiserslautern | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Kaiserslautern (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
74523,"Schwäbisch Hall",4,480.00,54.00,18.00,552.00,Sozialamt Schwäbisch Hall,"Am Spitalbach 8, 74523 Schwäbisch Hall",sozialamt@schwaebischhall.de,schwaebischhall,Baden-Württemberg,Wohngeld Rechner Schwäbisch Hall | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Schwäbisch Hall (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
37083,Göttingen,5,500.00,54.00,18.00,572.00,Fachbereich Soziales,"Hiroshimaplatz 1-4, 37083 Göttingen",sozialamt@goettingen.de,goettingen,Niedersachsen,Wohngeld Rechner Göttingen | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Göttingen (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
92224,Amberg,4,450.00,54.00,18.00,522.00,Amt für Soziales,"Marktplatz 11, 92224 Amberg",sozialamt@amberg.de,amberg,Bayern,Wohngeld Rechner Amberg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Amberg (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
84028,Landshut,4,490.00,54.00,18.00,562.00,Amt für soziale Angelegenheiten,"Luitpoldstraße 21, 84028 Landshut",sozialamt@landshut.de,landshut,Bayern,Wohngeld Rechner Landshut | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Landshut (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
45768,Marl,3,410.00,54.00,18.00,482.00,Sozialamt Marl,"Creiler Platz 1, 45768 Marl",sozialamt@marl.de,marl,Nordrhein-Westfalen,Wohngeld Rechner Marl | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Marl (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
87700,Memmingen,4,475.00,54.00,18.00,547.00,Sozialamt Memmingen,"Marktplatz 1, 87700 Memmingen",sozialamt@memmingen.de,memmingen,Bayern,Wohngeld Rechner Memmingen | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Memmingen (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
71032,Böblingen,5,520.00,54.00,18.00,592.00,Amt für Soziales,"Schloßberg 1, 71032 Böblingen",sozialamt@boeblingen.de,boeblingen,Baden-Württemberg,Wohngeld Rechner Böblingen | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Böblingen (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
35576,Wetzlar,4,480.00,54.00,18.00,552.00,Amt für Soziales,"Ernst-Leitz-Straße 30, 35576 Wetzlar",sozialamt@wetzlar.de,wetzlar,Hessen,Wohngeld Rechner Wetzlar | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Wetzlar (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
42853,Remscheid,4,460.00,54.00,18.00,532.00,Fachbereich Soziales,"Elberfelder Straße 36, 42853 Remscheid",sozialamt@remscheid.de,remscheid,Nordrhein-Westfalen,Wohngeld Rechner Remscheid | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Remscheid (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
33104,Paderborn,4,470.00,54.00,18.00,542.00,Amt für Soziales,"Am Hoppenhof 33, 33104 Paderborn",sozialamt@paderborn.de,paderborn,Nordrhein-Westfalen,Wohngeld Rechner Paderborn | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Paderborn (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
47441,Moers,4,465.00,54.00,18.00,537.00,Fachbereich Soziales,"Rathausplatz 1, 47441 Moers",sozialamt@moers.de,moers,Nordrhein-Westfalen,Wohngeld Rechner Moers | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Moers (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
38226,Salzgitter,3,410.00,54.00,18.00,482.00,Fachdienst Soziales,"Joachim-Campe-Straße 6-8, 38226 Salzgitter",sozialamt@stadt.salzgitter.de,salzgitter,Niedersachsen,Wohngeld Rechner Salzgitter | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Salzgitter (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
27576,Bremerhaven,4,455.00,54.00,18.00,527.00,Amt für Soziale Leistungen,"Hinrich-Schmalfeldt-Straße 40, 27576 Bremerhaven",sozialamt@magistrat.bremerhaven.de,bremerhaven,Bremen,Wohngeld Rechner Bremerhaven | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Bremerhaven (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
92637,Weiden,3,430.00,54.00,18.00,502.00,Amt für Soziales,"Nikolaistraße 10, 92637 Weiden",sozialamt@weiden.de,weiden,Bayern,Wohngeld Rechner Weiden | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Weiden (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
79539,Lörrach,5,520.00,54.00,18.00,592.00,Fachbereich Soziales,"Luisenstraße 16, 79539 Lörrach",sozialamt@loerrach.de,loerrach,Baden-Württemberg,Wohngeld Rechner Lörrach | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Lörrach (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
67547,Worms,4,460.00,54.00,18.00,532.00,Amt für soziale Angelegenheiten,"Marktplatz 2, 67547 Worms",sozialamt@worms.de,worms,Rheinland-Pfalz,Wohngeld Rechner Worms | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Worms (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
35037,Marburg,5,505.00,54.00,18.00,577.00,Fachdienst Soziales,"Friedrichstraße 36, 35037 Marburg",sozialamt@marburg.de,marburg,Hessen,Wohngeld Rechner Marburg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Marburg (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
75175,Pforzheim,4,470.00,54.00,18.00,542.00,Amt für Soziales und Jugend,"Östliche Karl-Friedrich-Straße 49, 75175 Pforzheim",sozialamt@pforzheim.de,pforzheim,Baden-Württemberg,Wohngeld Rechner Pforzheim | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Pforzheim (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
07743,Jena,4,480.00,54.00,18.00,552.00,Fachdienst Soziales,"Am Anger 28, 07743 Jena",sozialamt@jena.de,jena,Thüringen,Wohngeld Rechner Jena | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Jena (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
45699,Herten,3,405.00,54.00,18.00,477.00,Fachbereich Soziales,"Kurt-Schumacher-Straße 2, 45699 Herten",sozialamt@herten.de,herten,Nordrhein-Westfalen,Wohngeld Rechner Herten | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Herten (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
38820,Halberstadt,3,415.00,54.00,18.00,487.00,Fachbereich Soziales,"Domplatz 49, 38820 Halberstadt",sozialamt@halberstadt.de,halberstadt,Sachsen-Anhalt,Wohngeld Rechner Halberstadt | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Halberstadt (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
